Laptop HP Pavilion 15.6'                                    , 2400000,  20
Smartphone Samsung Galaxy S21                               , 3000000,  15
Auriculares inalámbricos Apple AirPods Pro                  ,  937500,  30
Televisor Samsung 4K UHD 55'                                , 4800000,  10
Consola de videojuegos Sony PlayStation 5                   , 2000000,  25
Portátil Apple MacBook Pro 13'                              , 6000000,  12
Tableta Amazon Fire HD 10                                   ,  800000,  35
Reloj inteligente Garmin Forerunner 945                     , 1600000,  18
Cámara digital Canon EOS Rebel T7                           , 2400000,  22
Impresora multifunción HP OfficeJet Pro 9015                , 1200000,  28
Portátil Dell XPS 13'                                       , 4800000,  17
Smartwatch Fitbit Versa 3                                   , 1200000,  25
Monitor LG UltraWide 34'                                    , 2400000,  15
Teclado mecánico Razer BlackWidow Elite                     ,  600000,  40
Ratón inalámbrico Logitech MX Master 3                      ,  400000,  30
Altavoces Bluetooth JBL Flip 5                              ,  480000,  50
Memoria USB SanDisk 128GB                                   ,  200000, 100
Disco duro externo Seagate Backup Plus 2TB                  ,  320000,  30
Tarjeta gráfica NVIDIA GeForce RTX 3080                     , 2400000,  10
Procesador AMD Ryzen 9 5900X                                , 1500000,  15
Placa base ASUS ROG Strix X570-E                            ,  900000,  20
Memoria RAM Corsair Vengeance LPX 16GB                      ,  300000,  50
Silla gaming DXRacer Formula Series                         ,  900000,  20
Escritorio de oficina IKEA LINNMON                          ,  450000,  25
Impresora láser Brother HL-L2350DW                          ,  600000,  15
Auriculares gaming HyperX Cloud Alpha                       ,  300000,  35
Mesa auxiliar para ordenador IKEA BRÄDA                     ,  240000,  80
Silla de oficina ergonómica Herman Miller Aeron             , 6000000,   5
Webcam Logitech C920 HD Pro                                 ,  480000,  20
Micrófono Blue Yeti USB                                     ,  720000,  10
Refrigerador de aire evaporativo Honeywell CS10XE           ,  900000,  15
Plancha de vapor Rowenta DW5080 Focus                       ,  480000,  30
Cafetera de goteo Hamilton Beach 49976                      ,  300000,  40
Batidora de mano KitchenAid KHM512ER                        ,  300000,  25
Licuadora Ninja Professional BL610                          ,  480000,  20
Freidora de aire COSORI 5.8 cuartos                         ,  600000,  15
Olla de cocción lenta Crock-Pot SCCPVL610-S                 ,  360000,  30
Exprimidor de cítricos eléctrico BLACK+DECKER CJ625         ,  120000,  50
Tostadora de pan Cuisinart CPT-180P1                        ,  240000,  35
Aspiradora de mano BLACK+DECKER BDH2000PL                   ,  300000,  20
Mesa de comedor de madera maciza                            , 1800000,  10
Silla de comedor tapizada                                   ,  600000,  20
Sofá seccional de cuero                                     , 9000000,   5
Mesa de centro de cristal                                   , 1200000,  15
Televisor LG OLED 4K 65'                                    ,12000000,   8
